origin_zone_id,destination_zone_id,origin_state,destination_state,origin_zone_name,destination_zone_name,annual_total_trips,mode_air,mode_rail,mode_vehicle,mode_atf,purpose_work,purpose_nonwork,zone_id_x,o_x,o_y,zone_id_y,d_x,d_y
23540_FL,36100_FL,FL,FL,"Gainesville, FL","Ocala, FL",4179150,0,0,4073448,105702,1283116,2896034,23540_FL,-82.47650176890735,29.68845797519173,36100_FL,-82.05665142074832,29.210207671595246
36100_FL,23540_FL,FL,FL,"Ocala, FL","Gainesville, FL",4108091,0,0,4004387,103704,1282316,2825775,36100_FL,-82.05665142074832,29.210207671595246,23540_FL,-82.47650176890735,29.68845797519173
26140_FL,36100_FL,FL,FL,"Homosassa Springs, FL","Ocala, FL",4090350,0,0,3997562,92788,1136368,2953982,26140_FL,-82.47939650321318,28.84890754313061,36100_FL,-82.05665142074832,29.210207671595246
RFL1_FL,39460_FL,FL,FL,FL-NonMSA areas (Central),"Punta Gorda, FL",3856198,0,0,3741640,114558,1001583,2854615,RFL1_FL,-81.30380393571672,27.047978462601378,39460_FL,-81.912256793785,26.90549780202472
RFL3_FL,36100_FL,FL,FL,FL-NonMSA areas (N),"Ocala, FL",3851608,0,0,3774822,76786,1056322,2795286,RFL3_FL,-82.90060820349375,29.93639244596677,36100_FL,-82.05665142074832,29.210207671595246
37460_FL,RFL4_FL,FL,FL,"Panama City, FL",FL-NonMSA areas (NW),3609495,0,0,3545921,63574,1053117,2556378,37460_FL,-85.46600655715284,30.143856217945498,RFL4_FL,-85.22904449813885,30.477452921646957
45220_FL,RFL4_FL,FL,FL,"Tallahassee, FL",FL-NonMSA areas (NW),3588077,0,0,3560754,27323,1227209,2360868,45220_FL,-84.28617320304492,30.405015607103945,RFL4_FL,-85.22904449813885,30.477452921646957
45540_FL,45300_FL,FL,FL,"The Villages, FL","Tampa-St. Petersburg-Clearwater, FL",3469231,0,0,3391566,77665,931433,2537798,45540_FL,-82.0809661436527,28.704746692421324,45300_FL,-82.40586985987241,28.153686028277587
18880_FL,37460_FL,FL,FL,"Crestview-Fort Walton Beach-Destin, FL","Panama City, FL",3336430,0,0,3298400,38030,902972,2433458,18880_FL,-86.36565385135344,30.665732523380893,37460_FL,-85.46600655715284,30.143856217945498
36100_FL,26140_FL,FL,FL,"Ocala, FL","Homosassa Springs, FL",3315286,0,0,3246327,68959,1024400,2290886,36100_FL,-82.05665142074832,29.210207671595246,26140_FL,-82.47939650321318,28.84890754313061
33100_FL,15980_FL,FL,FL,"Miami-Fort Lauderdale-West Palm Beach, FL","Cape Coral-Fort Myers, FL",3256425,18688,0,3237737,0,1122674,2133751,33100_FL,-80.62676908164782,25.989057353585206,15980_FL,-81.83374076516242,26.57778207308121
36100_FL,RFL3_FL,FL,FL,"Ocala, FL",FL-NonMSA areas (N),3205924,0,0,3129998,75926,998995,2206929,36100_FL,-82.05665142074832,29.210207671595246,RFL3_FL,-82.90060820349375,29.93639244596677
15980_FL,33100_FL,FL,FL,"Cape Coral-Fort Myers, FL","Miami-Fort Lauderdale-West Palm Beach, FL",3186689,18553,0,3168136,0,1024679,2162010,15980_FL,-81.83374076516242,26.57778207308121,33100_FL,-80.62676908164782,25.989057353585206
37460_FL,18880_FL,FL,FL,"Panama City, FL","Crestview-Fort Walton Beach-Destin, FL",3159967,0,0,3116000,43967,881157,2278810,37460_FL,-85.46600655715284,30.143856217945498,18880_FL,-86.36565385135344,30.665732523380893
27260_FL,36740_FL,FL,FL,"Jacksonville, FL","Orlando-Kissimmee-Sanford, FL",3145523,5540,31707,3108276,0,1022985,2122538,27260_FL,-81.79206235996922,30.236720801974084,36740_FL,-81.36300157579336,28.43433057854205
39460_FL,RFL1_FL,FL,FL,"Punta Gorda, FL",FL-NonMSA areas (Central),3083878,0,0,2982575,101303,898289,2185589,39460_FL,-81.912256793785,26.90549780202472,RFL1_FL,-81.30380393571672,27.047978462601378
45300_FL,45540_FL,FL,FL,"Tampa-St. Petersburg-Clearwater, FL","The Villages, FL",3075696,0,0,3015330,60366,853047,2222649,45300_FL,-82.40586985987241,28.153686028277587,45540_FL,-82.0809661436527,28.704746692421324
36740_FL,27260_FL,FL,FL,"Orlando-Kissimmee-Sanford, FL","Jacksonville, FL",2922284,4403,19542,2898339,0,948836,1973448,36740_FL,-81.36300157579336,28.43433057854205,27260_FL,-81.79206235996922,30.236720801974084
RFL4_FL,45220_FL,FL,FL,FL-NonMSA areas (NW),"Tallahassee, FL",2746114,0,0,2712387,33727,840191,1905923,RFL4_FL,-85.22904449813885,30.477452921646957,45220_FL,-84.28617320304492,30.405015607103945
29460_FL,42700_FL,FL,FL,"Lakeland-Winter Haven, FL","Sebring, FL",2739480,0,740,2655355,83385,722194,2017286,29460_FL,-81.69757651030494,27.94888002560678,42700_FL,-81.3410349639663,27.34332487914713
RFL1_FL,42700_FL,FL,FL,FL-NonMSA areas (Central),"Sebring, FL",2706627,0,26,2648884,57717,802715,1903912,RFL1_FL,-81.30380393571672,27.047978462601378,42700_FL,-81.3410349639663,27.34332487914713
42700_FL,RFL1_FL,FL,FL,"Sebring, FL",FL-NonMSA areas (Central),2675379,0,79,2619821,55479,789589,1885790,42700_FL,-81.3410349639663,27.34332487914713,RFL1_FL,-81.30380393571672,27.047978462601378
27260_FL,23540_FL,FL,FL,"Jacksonville, FL","Gainesville, FL",2639515,0,0,2615671,23844,802086,1837429,27260_FL,-81.79206235996922,30.236720801974084,23540_FL,-82.47650176890735,29.68845797519173
42700_FL,29460_FL,FL,FL,"Sebring, FL","Lakeland-Winter Haven, FL",2574808,0,71,2521868,52869,726275,1848533,42700_FL,-81.3410349639663,27.34332487914713,29460_FL,-81.69757651030494,27.94888002560678
33100_FL,34940_FL,FL,FL,"Miami-Fort Lauderdale-West Palm Beach, FL","Naples-Immokalee-Marco Island, FL",2451613,9960,0,2436993,4660,694112,1757501,33100_FL,-80.62676908164782,25.989057353585206,34940_FL,-81.34758798839782,26.110727879457404
26140_FL,45540_FL,FL,FL,"Homosassa Springs, FL","The Villages, FL",2353801,0,0,2298320,55481,633450,1720351,26140_FL,-82.47939650321318,28.84890754313061,45540_FL,-82.0809661436527,28.704746692421324
RFL2_FL,RFL3_FL,FL,FL,"Union County, FL",FL-NonMSA areas (N),2339075,0,0,2293922,45153,655919,1683156,RFL2_FL,-82.37143291683732,30.043855133664206,RFL3_FL,-82.90060820349375,29.93639244596677
34940_FL,33100_FL,FL,FL,"Naples-Immokalee-Marco Island, FL","Miami-Fort Lauderdale-West Palm Beach, FL",2200822,9887,0,2187574,3361,616442,1584380,34940_FL,-81.34758798839782,26.110727879457404,33100_FL,-80.62676908164782,25.989057353585206
23540_FL,27260_FL,FL,FL,"Gainesville, FL","Jacksonville, FL",2194163,0,0,2173387,20776,700954,1493209,23540_FL,-82.47650176890735,29.68845797519173,27260_FL,-81.79206235996922,30.236720801974084
RFL1_FL,33100_FL,FL,FL,FL-NonMSA areas (Central),"Miami-Fort Lauderdale-West Palm Beach, FL",2141473,2429,9113,2113362,16569,684009,1457464,RFL1_FL,-81.30380393571672,27.047978462601378,33100_FL,-80.62676908164782,25.989057353585206
15980_FL,35840_FL,FL,FL,"Cape Coral-Fort Myers, FL","North Port-Sarasota-Bradenton, FL",2140756,27,0,2128003,12726,616778,1523978,15980_FL,-81.83374076516242,26.57778207308121,35840_FL,-82.32229910658704,27.347870492975634
RFL1_FL,38940_FL,FL,FL,FL-NonMSA areas (Central),"Port St. Lucie, FL",2094003,0,0,2055535,38468,596345,1497658,RFL1_FL,-81.30380393571672,27.047978462601378,38940_FL,-80.45072430974419,27.219835127149576
RFL1_FL,29460_FL,FL,FL,FL-NonMSA areas (Central),"Lakeland-Winter Haven, FL",2056309,7,17,2013351,42934,632031,1424278,RFL1_FL,-81.30380393571672,27.047978462601378,29460_FL,-81.69757651030494,27.94888002560678
33100_FL,RFL1_FL,FL,FL,"Miami-Fort Lauderdale-West Palm Beach, FL",FL-NonMSA areas (Central),2018750,1982,3378,1998506,14884,660146,1358604,33100_FL,-80.62676908164782,25.989057353585206,RFL1_FL,-81.30380393571672,27.047978462601378
19660_FL,37340_FL,FL,FL,"Deltona-Daytona Beach-Ormond Beach, FL","Palm Bay-Melbourne-Titusville, FL",1997050,259,0,1982925,13866,595792,1401258,19660_FL,-81.21968990110504,29.17404141035394,37340_FL,-80.73227532489604,28.293692647230113
45540_FL,26140_FL,FL,FL,"The Villages, FL","Homosassa Springs, FL",1992896,0,0,1947005,45891,527229,1465667,45540_FL,-82.0809661436527,28.704746692421324,26140_FL,-82.47939650321318,28.84890754313061
35840_FL,15980_FL,FL,FL,"North Port-Sarasota-Bradenton, FL","Cape Coral-Fort Myers, FL",1992582,18,0,1979629,12935,605559,1387023,35840_FL,-82.32229910658704,27.347870492975634,15980_FL,-81.83374076516242,26.57778207308121
29460_FL,RFL1_FL,FL,FL,"Lakeland-Winter Haven, FL",FL-NonMSA areas (Central),1905385,13,31,1867300,38041,609877,1295508,29460_FL,-81.69757651030494,27.94888002560678,RFL1_FL,-81.30380393571672,27.047978462601378
15980_FL,45300_FL,FL,FL,"Cape Coral-Fort Myers, FL","Tampa-St. Petersburg-Clearwater, FL",1786425,3725,0,1782700,0,558048,1228377,15980_FL,-81.83374076516242,26.57778207308121,45300_FL,-82.40586985987241,28.153686028277587
45300_FL,15980_FL,FL,FL,"Tampa-St. Petersburg-Clearwater, FL","Cape Coral-Fort Myers, FL",1757489,5320,0,1752169,0,558413,1199076,45300_FL,-82.40586985987241,28.153686028277587,15980_FL,-81.83374076516242,26.57778207308121
38940_FL,RFL1_FL,FL,FL,"Port St. Lucie, FL",FL-NonMSA areas (Central),1754966,0,0,1714809,40157,543698,1211268,38940_FL,-80.45072430974419,27.219835127149576,RFL1_FL,-81.30380393571672,27.047978462601378
RFL3_FL,RFL2_FL,FL,FL,FL-NonMSA areas (N),"Union County, FL",1715293,0,0,1689114,26179,550644,1164649,RFL3_FL,-82.90060820349375,29.93639244596677,RFL2_FL,-82.37143291683732,30.043855133664206
37340_FL,19660_FL,FL,FL,"Palm Bay-Melbourne-Titusville, FL","Deltona-Daytona Beach-Ormond Beach, FL",1692959,216,0,1682238,10505,518102,1174857,37340_FL,-80.73227532489604,28.293692647230113,19660_FL,-81.21968990110504,29.17404141035394
18880_FL,RFL4_FL,FL,FL,"Crestview-Fort Walton Beach-Destin, FL",FL-NonMSA areas (NW),1663397,0,0,1631176,32221,516623,1146774,18880_FL,-86.36565385135344,30.665732523380893,RFL4_FL,-85.22904449813885,30.477452921646957
RFL1_FL,35840_FL,FL,FL,FL-NonMSA areas (Central),"North Port-Sarasota-Bradenton, FL",1629117,175,0,1609155,19787,487306,1141811,RFL1_FL,-81.30380393571672,27.047978462601378,35840_FL,-82.32229910658704,27.347870492975634
RFL3_FL,45220_FL,FL,FL,FL-NonMSA areas (N),"Tallahassee, FL",1557794,0,0,1536332,21462,466809,1090985,RFL3_FL,-82.90060820349375,29.93639244596677,45220_FL,-84.28617320304492,30.405015607103945
RFL3_FL,26140_FL,FL,FL,FL-NonMSA areas (N),"Homosassa Springs, FL",1493107,0,0,1434159,58948,410139,1082968,RFL3_FL,-82.90060820349375,29.93639244596677,26140_FL,-82.47939650321318,28.84890754313061
RFL2_FL,23540_FL,FL,FL,"Union County, FL","Gainesville, FL",1477273,0,0,1446622,30651,390734,1086539,RFL2_FL,-82.37143291683732,30.043855133664206,23540_FL,-82.47650176890735,29.68845797519173
RFL3_FL,19660_FL,FL,FL,FL-NonMSA areas (N),"Deltona-Daytona Beach-Ormond Beach, FL",1426662,120,1946,1398833,25763,422625,1004037,RFL3_FL,-82.90060820349375,29.93639244596677,19660_FL,-81.21968990110504,29.17404141035394
35840_FL,RFL1_FL,FL,FL,"North Port-Sarasota-Bradenton, FL",FL-NonMSA areas (Central),1417276,373,0,1395196,21707,430887,986389,35840_FL,-82.32229910658704,27.347870492975634,RFL1_FL,-81.30380393571672,27.047978462601378
45300_FL,36100_FL,FL,FL,"Tampa-St. Petersburg-Clearwater, FL","Ocala, FL",1408159,117,0,1403754,4288,435892,972267,45300_FL,-82.40586985987241,28.153686028277587,36100_FL,-82.05665142074832,29.210207671595246
RFL4_FL,18880_FL,FL,FL,FL-NonMSA areas (NW),"Crestview-Fort Walton Beach-Destin, FL",1390834,0,0,1366884,23950,457672,933162,RFL4_FL,-85.22904449813885,30.477452921646957,18880_FL,-86.36565385135344,30.665732523380893
27260_FL,45300_FL,FL,FL,"Jacksonville, FL","Tampa-St. Petersburg-Clearwater, FL",1358990,19534,12508,1326948,0,503397,855593,27260_FL,-81.79206235996922,30.236720801974084,45300_FL,-82.40586985987241,28.153686028277587
35840_FL,36740_FL,FL,FL,"North Port-Sarasota-Bradenton, FL","Orlando-Kissimmee-Sanford, FL",1358355,3448,0,1354907,0,420912,937443,35840_FL,-82.32229910658704,27.347870492975634,36740_FL,-81.36300157579336,28.43433057854205
